Subject,Start Date,Start Time,End Date,End Time,All Day Event,Description,Location,Private,Recurring
Mind Body Studio: Pilates Core,04/28/2018,9:15:00 AM,04/28/2018,10:00:00 AM,False,Pilates Core:Bridget B.:Mind Body Studio,Mind Body Studio,False,Y
Mind Body Studio: Yoga,04/28/2018,10:15:00 AM,04/28/2018,11:15:00 AM,False,Yoga:Angela L.:Mind Body Studio,Mind Body Studio,False,Y
Mind Body Studio: Closed for Program,04/28/2018,12:00:00 PM,04/28/2018,2:00:00 PM,False,Closed for Program:Staff:Mind Body Studio,Mind Body Studio,False,Y
Mind Body Studio: Yoga,04/29/2018,12:30:00 PM,04/29/2018,1:30:00 PM,False,Yoga:Darin P.:Mind Body Studio,Mind Body Studio,False,Y
Mind Body Studio: Yin Restore,04/29/2018,2:00:00 PM,04/29/2018,3:00:00 PM,False,Yin Restore:Darin P.:Mind Body Studio,Mind Body Studio,False,Y
Mind Body Studio: Yoga Basics,04/29/2018,3:30:00 PM,04/29/2018,4:30:00 PM,False,Yoga Basics:Miriam H.:Mind Body Studio,Mind Body Studio,False,Y
Mind Body Studio: Yoga,04/29/2018,4:45:00 PM,04/29/2018,5:45:00 PM,False,Yoga:Miriam H.:Mind Body Studio,Mind Body Studio,False,Y
Mind Body Studio: Yoga,04/30/2018,6:15:00 AM,04/30/2018,7:00:00 AM,False,Yoga:Robin H.:Mind Body Studio,Mind Body Studio,False,Y
Mind Body Studio: Yoga Basics,04/30/2018,10:15:00 AM,04/30/2018,11:00:00 AM,False,Yoga Basics:Laurel P.:Mind Body Studio,Mind Body Studio,False,Y
Mind Body Studio: Yoga,04/30/2018,11:15:00 AM,04/30/2018,12:00:00 PM,False,Yoga:Stephanie S.:Mind Body Studio,Mind Body Studio,False,Y
Mind Body Studio: Barefoot Power,04/30/2018,12:15:00 PM,04/30/2018,1:00:00 PM,False,Barefoot Power:Robin H.:Mind Body Studio,Mind Body Studio,False,Y
Mind Body Studio: Chair Yoga,04/30/2018,1:30:00 PM,04/30/2018,2:15:00 PM,False,Chair Yoga:Darin P.:Mind Body Studio,Mind Body Studio,False,Y
Mind Body Studio: Pilates Core,04/30/2018,2:30:00 PM,04/30/2018,3:15:00 PM,False,Pilates Core:Marcy A.:Mind Body Studio,Mind Body Studio,False,Y
Mind Body Studio: Yin Restore,04/30/2018,3:30:00 PM,04/30/2018,4:15:00 PM,False,Yin Restore:Stephanie S.:Mind Body Studio,Mind Body Studio,False,Y
Mind Body Studio: Yoga,04/30/2018,4:30:00 PM,04/30/2018,5:15:00 PM,False,Yoga:Stephanie S.:Mind Body Studio,Mind Body Studio,False,Y
Mind Body Studio: Yoga,04/30/2018,5:30:00 PM,04/30/2018,6:15:00 PM,False,Yoga:Stephanie S.:Mind Body Studio,Mind Body Studio,False,Y
Mind Body Studio: AT Mind in Moti
